date, pm25, pm10, o3, no2, so2, co
2024/11/1, 87, 32, 34, 6, 3, 7
2024/11/2, 75, 42, 62, 10, 3, 7
2024/11/3, 89, 48, 41, 11, 5, 7
2024/11/4, 91, 33, 42, 6, 3, 6
2024/11/5, 69, 48, 60, 6, 3, 7
2024/11/6, 105, 37, 49, 7, 3, 6
2024/11/7, 70, 38, 51, 9, 2, 5
2024/11/8, 75, 41, 41, 10, 2, 5
2024/11/9, 93, 47, 42, 9, 3, 5
2024/11/10, 103, 42, 48, 9, 2, 5
2024/11/11, 93, 39, 57, 10, 1, 4
2024/11/12, 79, , , , , 
2024/10/1, 63, 24, 40, 6, 2, 4
2024/10/2, 37, 31, 47, 6, 2, 4
2024/10/3, 52, 27, 51, 7, 2, 5
2024/10/4, 61, 33, 51, 8, 2, 5
2024/10/5, 79, 32, 61, 8, 2, 4
2024/10/6, 80, 39, 61, 7, 2, 6
2024/10/7, 85, 56, 66, 8, 2, 7
2024/10/8, 133, 40, 57, 7, 2, 6
2024/10/9, 93, 26, 51, 7, 1, 5
2024/10/10, 63, 34, 54, 11, 1, 5
2024/10/11, 81, 53, 83, 17, 2, 7
2024/10/12, 116, 50, 83, 13, 2, 6
2024/10/13, 92, 41, 78, 13, 2, 5
2024/10/14, 72, 43, 87, 15, 2, 6
2024/10/15, 83, 37, 45, 13, 2, 5
2024/10/16, 77, 34, 57, 11, 2, 5
2024/10/17, 61, 43, 37, 15, 2, 6
2024/10/18, 76, 41, 43, 14, 3, 5
2024/10/19, 84, 32, 32, 8, 1, 5
2024/10/20, 74, 25, 41, 6, 2, 5
2024/10/21, 62, 23, 35, 6, 2, 4
2024/10/22, 56, 23, 35, 6, 2, 5
2024/10/23, 39, 33, 43, 9, 3, 4
2024/10/24, 52, 37, 48, 8, 3, 4
2024/10/25, 73, 35, 35, 5, 2, 5
2024/10/26, 85, 18, 35, 5, 2, 6
2024/10/27, 54, 10, 36, 4, 2, 5
2024/10/28, 24, 19, 31, 4, 2, 5
2024/10/29, 45, 37, 40, 6, 2, 6
2024/10/30, 79, 35, 41, 7, 3, 5
2024/10/31, 72, 41, 46, 5, 3, 6
2024/7/1, 55, 25, 31, 6, , 5
2024/7/2, 50, 17, 29, 5, , 4
2024/7/3, 31, 16, 28, 10, 2, 5
2024/7/4, 39, 23, 7, 12, 2, 5
2024/7/5, 57, 16, 36, 7, 2, 3
2024/7/6, 47, 13, 32, 6, 2, 3
2024/7/7, 25, 17, 44, 5, 2, 4
2024/7/8, 43, 21, 51, 7, 2, 4
2024/7/9, 47, 19, 49, 7, 2, 
2024/7/10, 40, 17, 41, 7, 2, 4
2024/7/11, 38, 18, 41, 8, , 4
2024/7/12, 37, 16, 32, 6, 1, 4
2024/7/13, 37, 20, 45, 10, 2, 5
2024/7/14, 48, 19, 40, 9, 2, 4
2024/7/15, 37, 19, 36, 8, 2, 4
2024/7/16, 37, 18, 34, 7, 2, 4
2024/7/17, 39, 20, 16, 11, 2, 5
2024/7/18, 44, 22, 27, 12, 2, 5
2024/7/19, 46, 26, 27, 10, 2, 5
2024/7/20, 49, 18, 30, 5, 2, 4
2024/7/21, 38, 22, 41, 7, 2, 5
2024/7/22, 42, 21, 55, 7, 2, 4
2024/7/23, 41, 24, 61, 6, 2, 5
2024/7/24, 49, 34, 70, 6, 2, 5
2024/7/25, 74, 34, 59, 7, 2, 6
2024/7/26, 73, 21, 23, 13, 2, 6
2024/7/27, 58, 15, 13, 11, 2, 5
2024/7/28, 41, 20, 21, 10, 2, 5
2024/7/29, 44, 16, 19, 10, 2, 5
2024/7/30, 38, 17, 19, 8, 2, 5
2024/7/31, 42, 26, 29, 7, , 5
2024/8/1, 57, 31, 33, 9, 2, 5
2024/8/2, 66, 29, 71, 7, 2, 4
2024/8/3, 57, 36, 92, 7, 2, 5
2024/8/4, 79, 41, 79, 10, 2, 5
2024/8/5, 85, 41, 80, 15, 3, 5
2024/8/6, 80, 43, 74, 20, 2, 6
2024/8/7, 87, 35, 71, 9, 2, 5
2024/8/8, 73, 27, 70, 4, 2, 4
2024/8/9, 63, 26, 48, 4, 2, 5
2024/8/10, 53, 23, 38, 5, 2, 5
2024/8/11, 49, 29, 60, 11, 2, 5
2024/8/12, 70, 27, 59, 9, 2, 5
2024/8/13, 75, 31, 32, 14, 2, 6
