date, pm25, pm10, o3, no2, so2, co
2024/11/1, 88, 25, 38, 9, 2, 7
2024/11/2, 77, 34, 69, 12, 2, 7
2024/11/3, 99, 37, 49, 12, 4, 8
2024/11/4, 100, 27, 47, 7, 2, 7
2024/11/5, 77, 47, 47, 8, 2, 8
2024/11/6, 113, , , , , 
2024/10/1, 66, 30, 47, 5, 2, 4
2024/10/2, 50, 38, 57, 5, 2, 4
2024/10/3, 59, 33, 60, 6, 2, 5
2024/10/4, 65, 38, 62, 7, 2, 5
2024/10/5, 78, 38, 73, 6, 2, 5
2024/10/6, 78, 48, 74, 6, 2, 6
2024/10/7, 94, 80, 78, 7, 2, 7
2024/10/8, 149, 44, 69, 8, 2, 6
2024/10/9, 108, 28, 63, 6, 2, 5
2024/10/10, 69, 37, 70, 10, 2, 5
2024/10/11, 83, 54, 97, 14, 2, 7
2024/10/12, 120, 47, 102, 9, 2, 6
2024/10/13, 115, 36, 76, 9, 2, 5
2024/10/14, 91, 38, 96, 11, 2, 6
2024/10/15, 136, 37, 54, 12, 2, 6
2024/10/16, 86, 32, 64, 7, 2, 4
2024/10/17, 65, 43, 38, 12, 2, 6
2024/10/18, 89, 42, 55, 11, 3, 6
2024/10/19, 95, 31, 37, 6, 2, 6
2024/10/20, 77, 24, 48, 6, 2, 6
2024/10/21, 66, 22, 41, 6, 2, 5
2024/10/22, 57, 23, 40, 7, 2, 5
2024/10/23, 46, 33, 49, 9, 3, 4
2024/10/24, 57, 39, 56, 9, 3, 5
2024/10/25, 78, 38, 41, 6, 2, 5
2024/10/26, 87, 25, 41, 6, 2, 7
2024/10/27, 70, 16, 42, 6, 2, 7
2024/10/28, 37, 23, 37, 7, 2, 5
2024/10/29, 56, 34, 46, 8, 2, 7
2024/10/30, 89, 32, 46, 11, 4, 6
2024/10/31, 81, 31, 59, 8, 3, 8
2024/7/1, 53, 24, 32, 4, 2, 4
2024/7/2, 53, 16, 31, 4, 2, 4
2024/7/3, 36, 17, 28, 7, 1, 4
2024/7/4, 42, 23, 5, 10, 2, 5
